"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:33:24:501","24516295179474","   1.002","   0.371"," 1216"," 1100"," 1600"," 1200","   5.785","   5.795","   1.610","   4.372","   4.379","   1.216"," 54","0"," 51"," 52","   0.940","   0.941","   0.262","  15.000","    0","    0"
"22:33:25:517","24517709196844","   2.017","   0.580"," 1278"," 1100"," 1700"," 1277","   2.543","   8.378","   2.327","   1.237","   5.635","   1.565"," 54","0"," 51"," 52","   0.880","   1.835","   0.510","  15.000","  500","  500"
"22:33:26:520","24519105426900","   3.021","   0.587"," 1279"," 1100"," 1700"," 1277","   2.244","  10.629","   2.953","   0.998","   6.636","   1.843"," 53","0"," 51"," 53","   0.828","   2.666","   0.741","  15.000","  500","  500"
"22:33:27:525","24520505269180","   4.026","   0.621"," 1293"," 1100"," 1700"," 1309","   2.138","  12.779","   3.550","   0.893","   7.534","   2.093"," 53","0"," 50"," 53","   0.834","   3.505","   0.973","  15.000","    0","    0"

"Total Elapsed Time (sec) = 4.026145"
"Measured RDTSC Frequency (GHz) = 1.392"

"Cumulative Package Energy_0 (Joules) = 12.779297"
"Cumulative Package Energy_0 (mWh) = 3.549805"
"Average Package Power_0 (Watt) = 3.174078"

"Cumulative IA Energy_0 (Joules) = 7.533936"
"Cumulative IA Energy_0 (mWh) = 2.092760"
"Average Package IA_0 (Watt) = 1.871253"

"Cumulative DRAM Energy_0 (Joules) = 3.504578"
"Cumulative DRAM Energy_0 (mWh) = 0.973494"
"Average Package DRAM_0 (Watt) = 0.870455"
